style,total,answered,correct,incorrect,accuracy
comparative,40,40,34,6,0.85
hybrid,40,40,13,27,0.325
physics,40,40,22,18,0.55
policy,40,40,30,10,0.75
scenario,40,40,36,4,0.9
ALL,200,200,135,65,0.675
