style,total,answered,correct,incorrect,accuracy
comparative,40,40,31,9,0.775
hybrid,40,40,1,39,0.025
physics,40,40,2,38,0.05
policy,40,40,22,18,0.55
scenario,40,40,38,2,0.95
ALL,200,200,94,106,0.47
