style,total,answered,correct,incorrect,accuracy
comparative,40,40,34,6,0.85
hybrid,40,40,8,32,0.2
physics,40,40,21,19,0.525
policy,40,40,12,28,0.3
scenario,40,40,36,4,0.9
ALL,200,200,111,89,0.555
