style,total,answered,correct,incorrect,accuracy
comparative,40,40,37,3,0.925
hybrid,40,40,26,14,0.65
physics,40,40,13,27,0.325
policy,40,40,37,3,0.925
scenario,40,40,38,2,0.95
ALL,200,200,151,49,0.755
