style,total,answered,correct,incorrect,accuracy
comparative,40,40,34,6,0.85
hybrid,40,40,18,22,0.45
physics,40,40,21,19,0.525
policy,40,40,38,2,0.95
scenario,40,40,39,1,0.975
ALL,200,200,150,50,0.75
