style,total,answered,correct,incorrect,accuracy
comparative,40,40,25,15,0.625
hybrid,40,40,11,29,0.275
physics,40,40,10,30,0.25
policy,40,40,13,27,0.325
scenario,40,40,36,4,0.9
ALL,200,200,95,105,0.475
