style,total,answered,correct,incorrect,accuracy
comparative,40,40,36,4,0.9
hybrid,40,40,20,20,0.5
physics,40,40,21,19,0.525
policy,40,40,36,4,0.9
scenario,40,40,38,2,0.95
ALL,200,200,151,49,0.755
