style,total,answered,correct,incorrect,accuracy
comparative,40,40,37,3,0.925
hybrid,40,40,28,12,0.7
physics,40,40,20,20,0.5
policy,40,40,40,0,1.0
scenario,40,40,37,3,0.925
ALL,200,200,162,38,0.81
