style,total,answered,correct,incorrect,accuracy
comparative,40,40,38,2,0.95
hybrid,40,40,18,22,0.45
physics,40,40,19,21,0.475
policy,40,40,37,3,0.925
scenario,40,40,39,1,0.975
ALL,200,200,151,49,0.755
