style,total,answered,correct,incorrect,accuracy
comparative,40,40,24,16,0.6
hybrid,40,40,18,22,0.45
physics,40,40,18,22,0.45
policy,40,40,10,30,0.25
scenario,40,40,36,4,0.9
ALL,200,200,106,94,0.53
