style,total,answered,correct,incorrect,accuracy
comparative,40,40,38,2,0.95
hybrid,40,40,22,18,0.55
physics,40,40,18,22,0.45
policy,40,40,34,6,0.85
scenario,40,40,38,2,0.95
ALL,200,200,150,50,0.75
