style,total,answered,correct,incorrect,accuracy
comparative,40,40,38,2,0.95
hybrid,40,40,21,19,0.525
physics,40,40,19,21,0.475
policy,40,40,38,2,0.95
scenario,40,40,38,2,0.95
ALL,200,200,154,46,0.77
