style,total,answered,correct,incorrect,accuracy
comparative,40,40,36,4,0.9
hybrid,40,40,19,21,0.475
physics,40,40,22,18,0.55
policy,40,40,11,29,0.275
scenario,40,40,38,2,0.95
ALL,200,200,126,74,0.63
