style,total,answered,correct,incorrect,accuracy
comparative,40,40,33,7,0.825
hybrid,40,40,8,32,0.2
physics,40,40,12,28,0.3
policy,40,40,30,10,0.75
scenario,40,40,36,4,0.9
ALL,200,200,119,81,0.595
