style,total,answered,correct,incorrect,accuracy
comparative,40,40,35,5,0.875
hybrid,40,40,12,28,0.3
physics,40,40,17,23,0.425
policy,40,40,35,5,0.875
scenario,40,40,36,4,0.9
ALL,200,200,135,65,0.675
